compressor_name,original_size,compressed_size,compression_ratio,compress_time,percentage_reduction,memory_usage,decompress_time
huffman,130619393,84338474,1.55,12.9423,35.43,659020,24.3731
zlib,130619393,16557646,7.89,1.5257,87.32,16464,0.1678
lzma,130619393,11488760,11.37,21.6492,91.2,11544,0.5704
bz2,130619393,12528531,10.43,7.8442,90.41,12280,1.7723
gzip,130619393,15795678,8.27,2.1953,87.91,15444,0.181
huffman,130619393,84338474,1.55,13.4781,35.43,659108,25.3274
zlib,130619393,16557646,7.89,1.5397,87.32,16172,0.1661
lzma,130619393,11488760,11.37,21.0778,91.2,11220,0.5655
bz2,130619393,12528531,10.43,7.6808,90.41,12236,1.694
gzip,130619393,15795678,8.27,2.0541,87.91,15428,0.1745
huffman,130619393,84338474,1.55,12.8443,35.43,657924,24.6964
zlib,130619393,16557646,7.89,1.5555,87.32,16432,0.1673
lzma,130619393,11488760,11.37,21.2523,91.2,11348,0.5659
bz2,130619393,12528531,10.43,7.6077,90.41,12492,1.6637
gzip,130619393,15795678,8.27,1.9857,87.91,15428,0.1737
huffman,130619393,84338474,1.55,12.487,35.43,658636,23.4341
zlib,130619393,16557646,7.89,1.4903,87.32,16172,0.1629
lzma,130619393,11488760,11.37,20.8628,91.2,11184,0.5643
bz2,130619393,12528531,10.43,7.6359,90.41,12236,1.6595
gzip,130619393,15795678,8.27,2.0357,87.91,15428,0.1814
huffman,130619393,84338474,1.55,12.8808,35.43,658568,24.7153
zlib,130619393,16557646,7.89,1.5478,87.32,16432,0.1664
lzma,130619393,11488760,11.37,21.311,91.2,11220,0.5855
bz2,130619393,12528531,10.43,7.8435,90.41,12236,1.6917
gzip,130619393,15795678,8.27,2.0368,87.91,15428,0.179
