compressor_name,original_size,compressed_size,compression_ratio,compress_time,percentage_reduction
HUFFMAN,152089,87688,1.73,0.015,42.34
zlib,152089,54404,2.8,0.007,64.23
lzma,152089,48492,3.14,0.0287,68.12
bz2,152089,43202,3.52,0.0078,71.59
gzip,152089,54182,2.81,0.0095,64.37
HUFFMAN,152089,87688,1.73,0.0152,42.34
zlib,152089,54404,2.8,0.0065,64.23
lzma,152089,48492,3.14,0.0288,68.12
bz2,152089,43202,3.52,0.008,71.59
gzip,152089,54182,2.81,0.0095,64.37
HUFFMAN,152089,87688,1.73,0.0151,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0293,68.12
bz2,152089,43202,3.52,0.008,71.59
gzip,152089,54182,2.81,0.0117,64.37
HUFFMAN,152089,87688,1.73,0.0166,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0286,68.12
bz2,152089,43202,3.52,0.0089,71.59
gzip,152089,54182,2.81,0.0098,64.37
HUFFMAN,152089,87688,1.73,0.0145,42.34
zlib,152089,54404,2.8,0.0068,64.23
lzma,152089,48492,3.14,0.0313,68.12
bz2,152089,43202,3.52,0.0078,71.59
gzip,152089,54182,2.81,0.0101,64.37
HUFFMAN,152089,87688,1.73,0.0151,42.34
zlib,152089,54404,2.8,0.0065,64.23
lzma,152089,48492,3.14,0.0297,68.12
bz2,152089,43202,3.52,0.0081,71.59
gzip,152089,54182,2.81,0.0094,64.37
