compressor_name,original_size,compressed_size,compression_ratio,compress_time,percentage_reduction,decompress_time
HUFFMAN,152089,87688,1.73,0.0153,42.34,0.0246
zlib,152089,54404,2.8,0.0067,64.23,0.0004
lzma,152089,48492,3.14,0.0282,68.12,0.002
bz2,152089,43202,3.52,0.0078,71.59,0.0041
gzip,152089,54182,2.81,0.0106,64.37,0.0006
HUFFMAN,152089,87688,1.73,0.0198,42.34,0.0263
zlib,152089,54404,2.8,0.007,64.23,0.0005
lzma,152089,48492,3.14,0.0326,68.12,0.0019
bz2,152089,43202,3.52,0.0082,71.59,0.0032
gzip,152089,54182,2.81,0.0103,64.37,0.0005
HUFFMAN,152089,87688,1.73,0.0154,42.34,0.0251
zlib,152089,54404,2.8,0.0065,64.23,0.0004
lzma,152089,48492,3.14,0.0294,68.12,0.0018
bz2,152089,43202,3.52,0.0077,71.59,0.0029
gzip,152089,54182,2.81,0.0099,64.37,0.0004
HUFFMAN,152089,87688,1.73,0.0146,42.34,0.0248
zlib,152089,54404,2.8,0.0068,64.23,0.0005
lzma,152089,48492,3.14,0.0299,68.12,0.002
bz2,152089,43202,3.52,0.0083,71.59,0.0029
gzip,152089,54182,2.81,0.0096,64.37,0.0005
HUFFMAN,152089,87688,1.73,0.0165,42.34,0.025
zlib,152089,54404,2.8,0.0066,64.23,0.0005
lzma,152089,48492,3.14,0.0282,68.12,0.0018
bz2,152089,43202,3.52,0.008,71.59,0.0031
gzip,152089,54182,2.81,0.0097,64.37,0.0004
HUFFMAN,152089,87688,1.73,0.0152,42.34,0.0243
zlib,152089,54404,2.8,0.0069,64.23,0.0004
lzma,152089,48492,3.14,0.0297,68.12,0.002
bz2,152089,43202,3.52,0.0077,71.59,0.0029
gzip,152089,54182,2.81,0.0095,64.37,0.0004
HUFFMAN,152089,87688,1.73,0.0145,42.34,0.0243
zlib,152089,54404,2.8,0.0068,64.23,0.0004
lzma,152089,48492,3.14,0.0284,68.12,0.0018
bz2,152089,43202,3.52,0.0078,71.59,0.0029
gzip,152089,54182,2.81,0.0096,64.37,0.0005
HUFFMAN,152089,87688,1.73,0.0147,42.34,0.0246
zlib,152089,54404,2.8,0.0066,64.23,0.0005
lzma,152089,48492,3.14,0.0294,68.12,0.002
bz2,152089,43202,3.52,0.0079,71.59,0.0029
gzip,152089,54182,2.81,0.0098,64.37,0.0005
HUFFMAN,152089,87688,1.73,0.0151,42.34,0.0281
zlib,152089,54404,2.8,0.0069,64.23,0.0005
lzma,152089,48492,3.14,0.0286,68.12,0.0019
bz2,152089,43202,3.52,0.0081,71.59,0.0029
gzip,152089,54182,2.81,0.01,64.37,0.0006
HUFFMAN,152089,87688,1.73,0.0149,42.34,0.0311
zlib,152089,54404,2.8,0.0066,64.23,0.0005
lzma,152089,48492,3.14,0.0281,68.12,0.0023
bz2,152089,43202,3.52,0.0077,71.59,0.0033
gzip,152089,54182,2.81,0.0096,64.37,0.0004
HUFFMAN,152089,87688,1.73,0.0157,42.34,0.0248
zlib,152089,54404,2.8,0.0066,64.23,0.0004
lzma,152089,48492,3.14,0.0288,68.12,0.0019
bz2,152089,43202,3.52,0.0078,71.59,0.003
gzip,152089,54182,2.81,0.0097,64.37,0.0004
HUFFMAN,152089,87688,1.73,0.0148,42.34,0.0248
zlib,152089,54404,2.8,0.0069,64.23,0.0004
lzma,152089,48492,3.14,0.0288,68.12,0.0018
bz2,152089,43202,3.52,0.0077,71.59,0.003
gzip,152089,54182,2.81,0.0094,64.37,0.0006
HUFFMAN,152089,87688,1.73,0.0157,42.34,0.0315
zlib,152089,54404,2.8,0.0069,64.23,0.0006
lzma,152089,48492,3.14,0.0285,68.12,0.0018
bz2,152089,43202,3.52,0.0079,71.59,0.003
gzip,152089,54182,2.81,0.0094,64.37,0.0004
HUFFMAN,152089,87688,1.73,0.0153,42.34,0.0247
zlib,152089,54404,2.8,0.0065,64.23,0.0005
lzma,152089,48492,3.14,0.0278,68.12,0.0019
bz2,152089,43202,3.52,0.0082,71.59,0.003
gzip,152089,54182,2.81,0.0094,64.37,0.0006
HUFFMAN,152089,87688,1.73,0.0151,42.34,0.0248
zlib,152089,54404,2.8,0.0065,64.23,0.0005
lzma,152089,48492,3.14,0.0288,68.12,0.002
bz2,152089,43202,3.52,0.0078,71.59,0.0029
gzip,152089,54182,2.81,0.0094,64.37,0.0004
HUFFMAN,152089,87688,1.73,0.015,42.34,0.0249
zlib,152089,54404,2.8,0.0065,64.23,0.0004
lzma,152089,48492,3.14,0.0292,68.12,0.0018
bz2,152089,43202,3.52,0.0082,71.59,0.003
gzip,152089,54182,2.81,0.0094,64.37,0.0004
HUFFMAN,152089,87688,1.73,0.0148,42.34,0.0244
zlib,152089,54404,2.8,0.0068,64.23,0.0005
lzma,152089,48492,3.14,0.0291,68.12,0.0018
bz2,152089,43202,3.52,0.008,71.59,0.0031
gzip,152089,54182,2.81,0.01,64.37,0.0004
HUFFMAN,152089,87688,1.73,0.0146,42.34,0.0247
zlib,152089,54404,2.8,0.0066,64.23,0.0004
lzma,152089,48492,3.14,0.0299,68.12,0.002
bz2,152089,43202,3.52,0.0078,71.59,0.0029
gzip,152089,54182,2.81,0.0095,64.37,0.0004
HUFFMAN,152089,87688,1.73,0.0146,42.34,0.0247
zlib,152089,54404,2.8,0.0066,64.23,0.0004
lzma,152089,48492,3.14,0.0299,68.12,0.002
bz2,152089,43202,3.52,0.0078,71.59,0.0029
gzip,152089,54182,2.81,0.0095,64.37,0.0004
